GeneID	Locus.ID	Accession	HCT-116 Z-score	HKE-3 Z-score	D Z-score
ESRRBL1	55081	NM_018010	-0.59	-0.19	-0.4
RBMS1	5937	NM_002897	-0.74	-0.34	-0.4
DUSP7	1849	XM_037430	0.92	1.32	-0.4
PTK9	5756	NM_002822	-0.01	0.39	-0.4
SRPK1	6732	NM_003137	-0.01	0.39	-0.4
TXK	7294	NM_003328	-0.08	0.32	-0.4
MRGX3	117195	NM_054031	-0.66	-0.26	-0.4
SMO	6608	NM_005631	-0.21	0.19	-0.4
HCRT	3060	NM_001524	-0.33	0.07	-0.4
SIVA	10572	NM_006427	0.1	0.5	-0.4
ALCAM	214	NM_001627	-0.68	-0.28	-0.4
INHA	3623	NM_002191	-0.79	-0.39	-0.4
SLC2A4	6517	NM_001042	-0.4	0	-0.4
PLSCR3	57048	NM_020360	-0.17	0.23	-0.4
BLVRB	645	NM_000713	-0.51	-0.11	-0.4
GABARAPL1	23710	NM_031412	0.21	0.61	-0.4
HIST1H4K	8362	NM_003541	-0.32	0.08	-0.4
TBX6	6911	NM_004608	-0.65	-0.25	-0.4
CDC25B	994	NM_004358	0.41	0.81	-0.4
ATF2	1386	NM_001880	1.8	2.2	-0.4
DC-UBP	92181	NM_152277	1.18	1.58	-0.4
MAP3K14	9020	NM_003954	2.16	2.57	-0.41
STK22C	81629	NM_052841	-0.69	-0.28	-0.41
OR5P3	120066	NM_153445	-0.69	-0.28	-0.41
WNT5B	81029	NM_030775	-1.13	-0.72	-0.41
TAF9	6880	NM_003187	-1.22	-0.81	-0.41
PCK2	5106	NM_004563	-0.73	-0.32	-0.41
PIM1	5292	NM_002648	-0.37	0.04	-0.41
ADRB1	153	NM_000684	0.44	0.85	-0.41
MPRA	164091	NM_178422	-0.82	-0.41	-0.41
FSHB	2488	NM_000510	-0.42	-0.01	-0.41
INHBB	3625	NM_002193	-0.61	-0.2	-0.41
IL31RA	133396	NM_139017	0.45	0.86	-0.41
PPARBP	5469	NM_004774	0.45	0.86	-0.41
APOA1	335	NM_000039	-0.48	-0.07	-0.41
RBPSUHL	11317	NM_014276	-0.41	0	-0.41
RFNG	5986	BC050399	-0.74	-0.33	-0.41
SIPA1	6494	NM_006747	0.19	0.6	-0.41
RFK	55312	NM_018339	0.23	0.64	-0.41
MAP3K2	10746	NM_006609	0.21	0.62	-0.41
NRBP	29959	NM_013392	-0.19	0.22	-0.41
P15RS	55197	NM_018170	-1.01	-0.6	-0.41
PRPS1	5631	NM_002764	0.39	0.8	-0.41
PSKH1	5681	NM_006742	-0.08	0.33	-0.41
CCBP2	1238	NM_001296	-0.34	0.07	-0.41
GPR51	9568	NM_005458	0.5	0.91	-0.41
H963	29909	NM_013308	0.11	0.52	-0.41
HIF1AN	55662	NM_017902	0.24	0.65	-0.41
HSD11B2	3291	NM_000196	-0.92	-0.51	-0.41
MK-STYX	51657	NM_016086	0.39	0.8	-0.41
PTPRB	5787	NM_002837	-0.24	0.17	-0.41
EBP	10682	NM_006579	0.04	0.45	-0.41
PVR	5817	NM_006505	-1.06	-0.65	-0.41
SFRP2	6423	XM_050625	-0.27	0.14	-0.41
WNT3A	89780	NM_033131	-0.93	-0.52	-0.41
TECTA	7007	NM_005422	-0.52	-0.11	-0.41
CLCA2	9635	NM_006536	0.04	0.45	-0.41
HDLBP	3069	NM_005336	-1.23	-0.82	-0.41
HIST1H4B	8366	NM_003544	-0.33	0.08	-0.41
PVRL4	81607	NM_030916	0.24	0.65	-0.41
RAB3IL1	5866	NM_013401	-0.39	0.02	-0.41
CHC1	1104	NM_001269	-0.93	-0.52	-0.41
KIAA1399	57574	XM_046685	1.42	1.83	-0.41
LCK	3932	NM_005356	1.63	2.04	-0.41
CHUK	1147	NM_001278	0.27	0.69	-0.42
C6ORF199	221264	NM_145025	2.17	2.59	-0.42
ENTPD8	124583	NM_138793	-0.95	-0.53	-0.42
TRIP3	9326	NM_004773	0.74	1.16	-0.42
EPB41	2035	NM_004437	0.77	1.19	-0.42
HRK	8739	NM_003806	2.84	3.26	-0.42
TBL1X	6907	NM_005647	-0.7	-0.28	-0.42
GNB3	2784	NM_002075	0.46	0.88	-0.42
BIRC2	329	NM_001166	-0.74	-0.32	-0.42
LILRB1	10859	NM_006669	-0.18	0.24	-0.42
WNT9B	7484	NM_003396	-0.41	0.01	-0.42
FRZB	2487	NM_001463	-0.71	-0.29	-0.42
IL1A	3552	NM_000575	0.06	0.48	-0.42
SFPQ	6421	NM_005066	0.06	0.48	-0.42
BCL2L13	23786	NM_015367	-0.74	-0.32	-0.42
ASK	10926	NM_006716	-0.66	-0.24	-0.42
TLR6	10333	NM_006068	0.23	0.65	-0.42
ARL3	403	NM_004311	0.22	0.64	-0.42
GPR155	151556	NM_152529	-0.52	-0.1	-0.42
AVP	551	NM_000490	-0.89	-0.47	-0.42
CHRNB1	1140	NM_000747	-0.79	-0.37	-0.42
RARB	5915	NM_000965	-0.16	0.26	-0.42
NET1	10276	NM_005863	-0.4	0.02	-0.42
OR8G1P	26494	NM_001002905	0.22	0.64	-0.42
JARID1A	5927	NM_005056	-1.04	-0.62	-0.42
CAPON	9722	NM_014697	-0.55	-0.13	-0.42
CLK3	1198	NM_001292	2.14	2.57	-0.43
GPR119	139760	NM_178471	0.79	1.22	-0.43
TP53AP1	11257	NM_007233	-1.16	-0.73	-0.43
PAK3	5063	NM_002578	-0.84	-0.41	-0.43
DPF2	5977	NM_006268	-0.05	0.38	-0.43
KLRD1	3824	NM_002262	0.04	0.47	-0.43
NR2F2	7026	NM_021005	-0.51	-0.08	-0.43
KRT6C	140446	NM_058242	0.31	0.74	-0.43
COL5A1	1289	NM_000093	-0.42	0.01	-0.43
TAF1C	9013	NM_005679	-0.35	0.08	-0.43
GSR	2936	NM_000637	-0.73	-0.3	-0.43
ANXA2	302	NM_004039	0.43	0.86	-0.43
ARHGEF10	9639	NM_014629	-0.74	-0.31	-0.43
DUX3	26582	NM_012148	0.44	0.87	-0.43
TCF8	6935	NM_030751	-0.06	0.37	-0.43
CD163	9332	NM_004244	-0.25	0.18	-0.43
MAP3K6	9064	NM_004672	-1.08	-0.65	-0.43
PDK1	5163	NM_002610	-0.4	0.03	-0.43
CCR7	1236	NM_001838	-0.46	-0.03	-0.43
HTR1B	3351	NM_000863	-1.26	-0.83	-0.43
TAS2R41	259287	NM_176883	0.11	0.54	-0.43
SKP2	6502	NM_005983	-1.33	-0.9	-0.43
KIF22	3835	NM_007317	0.12	0.55	-0.43
SFRP4	6424	NM_003014	-0.9	-0.47	-0.43
GABRR1	2569	NM_002042	0.24	0.67	-0.43
APOC1	341	NM_001645	-0.1	0.33	-0.43
ZNF398	57541	NM_020781	-0.68	-0.25	-0.43
COX11	1353	NM_004375	0.12	0.55	-0.43
TTBK2	146057	NM_173500	1.14	1.57	-0.43
DAPK2	23604	NM_014326	1.07	1.51	-0.44
PPP2CA	5515	NM_002715	1.3	1.74	-0.44
C5R1	728	NM_001736	0.56	1	-0.44
CDK2AP1	8099	NM_004642	-0.83	-0.39	-0.44
GDF10	2662	NM_004962	0.17	0.61	-0.44
BGN	633	NM_001711	0.28	0.72	-0.44
KRT7	3855	NM_005556	-0.7	-0.26	-0.44
PPBP	5473	NM_002704	-0.84	-0.4	-0.44
SLC11A2	4891	NM_000617	0.25	0.69	-0.44
PEA15	8682	NM_003768	-0.59	-0.15	-0.44
PNUTL2	5414	NM_004574	1.27	1.71	-0.44
RELN	5649	NM_005045	-0.03	0.41	-0.44
MAPK8IP1	9479	NM_005456	-0.21	0.23	-0.44
PCTK1	5127	NM_006201	0	0.44	-0.44
PRKY	5616	NM_002760	-0.76	-0.32	-0.44
STK25	10494	NM_006374	-0.33	0.11	-0.44
EDNRB	1910	NM_000115	-0.25	0.19	-0.44
FPRL1	2358	NM_001462	-0.5	-0.06	-0.44
HTR6	3362	NM_000871	0.31	0.75	-0.44
P2RY4	5030	NM_002565	-0.07	0.37	-0.44
MS4A8B	83661	NM_031457	-0.44	0	-0.44
IL4R	3566	NM_000418	0.01	0.45	-0.44
NCOA2	10499	NM_006540	-0.45	-0.01	-0.44
EPS8	2059	NM_004447	0	0.44	-0.44
MLF2	8079	NM_005439	-0.23	0.21	-0.44
SCO2	9997	NM_005138	-0.45	-0.01	-0.44
EMR3	84658	NM_032571	-0.1	0.34	-0.44
GPR19	2842	NM_006143	0.59	1.03	-0.44
MAS1L	116511	NM_052967	-0.34	0.1	-0.44
EPAS1	2034	NM_001430	-0.67	-0.23	-0.44
CENPJ	55835	NM_018451	0.11	0.55	-0.44
MEFV	4210	NM_000243	-0.66	-0.22	-0.44
MMP15	4324	NM_002428	-1.06	-0.62	-0.44
MPP3	4356	NM_001932	2.18	2.63	-0.45
GPR73L1	128674	NM_144733	-0.83	-0.38	-0.45
CSF2RA	1438	NM_006140	-0.29	0.16	-0.45
DLG5	9231	NM_004747	0.81	1.26	-0.45
KRT4	3851	NM_002272	0.52	0.97	-0.45
EIF3S7	8664	NM_003753	1.36	1.81	-0.45
EPHA7	2045	NM_004440	-0.12	0.33	-0.45
GPR63	81491	NM_030784	-0.88	-0.43	-0.45
FGF13	2258	NM_004114	-0.39	0.06	-0.45
NOTCH3	4854	NM_000435	-0.23	0.22	-0.45
AQP7	364	NM_001170	-0.5	-0.05	-0.45
TRPC3	7222	NM_003305	-0.33	0.12	-0.45
TAGLN	6876	NM_003186	-0.25	0.2	-0.45
KIF17	57576	NM_020816	0.35	0.8	-0.45
AMH	268	NM_000479	-1.1	-0.65	-0.45
CD44	960	NM_000610	-1.05	-0.6	-0.45
IL5RA	3568	NM_000564	-0.66	-0.21	-0.45
SORCS2	57537	NM_020777	-0.55	-0.1	-0.45
SLC26A4	5172	NM_000441	-1.03	-0.58	-0.45
CNGB1	1258	NM_001297	-0.17	0.28	-0.45
APOBEC3F	200316	NM_145298	-0.8	-0.35	-0.45
MAFF	23764	NM_012323	-1.02	-0.57	-0.45
GRK6	2870	NM_002082	2.44	2.89	-0.45
PDE6C	5146	NM_006204	2.8	3.25	-0.45
TNNC1	7134	NM_003280	1.92	2.37	-0.45
CYC1	1537	NM_001916	-1.14	-0.68	-0.46
PTK6	5753	NM_005975	-0.03	0.43	-0.46
BRS3	680	NM_001727	-0.43	0.03	-0.46
OR2F1	26211	NM_012369	2.17	2.63	-0.46
SHB	6461	NM_003028	0.53	0.99	-0.46
TGFBRAP1	9392	NM_004257	-1.24	-0.78	-0.46
EDN1	1906	NM_001955	-1.65	-1.19	-0.46
CHRNA6	8973	NM_004198	-0.97	-0.51	-0.46
STAT5B	6777	NM_012448	-0.31	0.15	-0.46
CLCNKA	1187	NM_004070	-0.73	-0.27	-0.46
CNGA3	1261	NM_001298	-0.09	0.37	-0.46
KCNMA1	3778	NM_002247	-0.47	-0.01	-0.46
MEIS1	4211	NM_002398	-0.37	0.09	-0.46
HYPB	29072	NM_014159	-0.72	-0.26	-0.46
PRG1	5552	NM_002727	-0.42	0.04	-0.46
DENR	8562	NM_003677	-0.42	0.04	-0.46
DGKQ	1609	NM_001347	0.41	0.87	-0.46
GIT1	28964	NM_014030	-0.38	0.08	-0.46
RAPSN	5913	NM_005055	-0.27	0.19	-0.46
PDCD6	10016	NM_013232	-0.88	-0.42	-0.46
ATP2C1	27032	NM_014382	-0.06	0.4	-0.46
MRE11A	4361	NM_005590	-1.04	-0.58	-0.46
GPR31	2853	NM_005299	1.93	2.39	-0.46
MAP1A	4130	NM_002373	1.91	2.37	-0.46
AAAS	8086	NM_015665	1.58	2.05	-0.47
RNF144	9781	NM_014746	-1.39	-0.92	-0.47
RASGRP4	115727	NM_052949	0.92	1.39	-0.47
DUSP10	11221	NM_007207	-0.1	0.37	-0.47
PRKCABP	9463	NM_012407	-0.87	-0.4	-0.47
ROCK1	6093	NM_005406	-1.19	-0.72	-0.47
GPR12	2835	NM_005288	0.27	0.74	-0.47
GPR22	2845	NM_005295	-0.62	-0.15	-0.47
RRH	10692	NM_006583	-0.73	-0.26	-0.47
BIRC8	112401	NM_033341	-0.84	-0.37	-0.47
NFX1	4799	NM_002504	-0.94	-0.47	-0.47
PDP2	57546	NM_020786	1.02	1.49	-0.47
ITPR1	3708	NM_002222	-0.31	0.16	-0.47
TNFSF5	959	NM_000074	-0.5	-0.03	-0.47
ARPP-19	10776	NM_006628	-0.36	0.11	-0.47
SMAD5	4090	NM_005903	-0.6	-0.13	-0.47
KCNA3	3738	NM_002232	-0.98	-0.51	-0.47
SCN1B	6324	NM_001037	0.35	0.82	-0.47
HCN4	10021	NM_005477	-0.41	0.06	-0.47
IGF2AS	51214	NM_016412	0.03	0.5	-0.47
NPAS2	4862	NM_002518	-0.38	0.09	-0.47
TCF19	6941	NM_007109	0.7	1.17	-0.47
SCD	6319	NM_005063	1.17	1.64	-0.47
CCR4	1233	NM_005508	-0.55	-0.08	-0.47
NR5A2	2494	NM_003822	0.41	0.88	-0.47
BSCL2	26580	NM_032667	-0.77	-0.3	-0.47
HDAC10	83933	NM_032019	0.42	0.89	-0.47
HK3	3101	NM_002115	0.61	1.08	-0.47
TNIK	23043	XM_039796	0.65	1.13	-0.48
AXL	558	NM_001699	-0.23	0.25	-0.48
MAP2K1	5604	NM_002755	1.2	1.68	-0.48
MYO3A	53904	NM_017433	0.73	1.21	-0.48
PTK2	5747	NM_005607	-0.64	-0.16	-0.48
C17ORF35	8834	NM_003876	0.97	1.45	-0.48
DTX2	113878	NM_020892	-1.52	-1.04	-0.48
UBE3B	89910	NM_130466	0.12	0.6	-0.48
GJA1	2697	NM_000165	-0.05	0.43	-0.48
GRIA1	2890	NM_000827	-0.11	0.37	-0.48
HLA-C	3107	NM_002117	-0.05	0.43	-0.48
EDIL3	10085	NM_005711	0.69	1.17	-0.48
FGF14	2259	NM_004115	-1.69	-1.21	-0.48
MRPL13	28998	NM_014078	-0.59	-0.11	-0.48
ADAM12	8038	NM_003474	0.02	0.5	-0.48
BNIP1	662	NM_001205	1.43	1.91	-0.48
GPX1	2876	NM_000581	1.2	1.68	-0.48
SLC9A3R2	9351	NM_004785	-0.6	-0.12	-0.48
HIC1	3090	NM_006497	-0.73	-0.25	-0.48
WARS	7453	NM_004184	-0.36	0.12	-0.48
NME4	4833	NM_005009	-0.28	0.2	-0.48
PDK4	5166	NM_002612	0.33	0.81	-0.48
CXCR6	10663	NM_006564	0.32	0.8	-0.48
CDC14A	8556	NM_003672	-0.08	0.4	-0.48
DUSP15	128853	NM_080611	-0.91	-0.43	-0.48
FREB	84824	NM_032738	-0.78	-0.3	-0.48
TNFSF13B	10673	NM_006573	-0.2	0.28	-0.48
NTN2L	4917	NM_006181	0.3	0.78	-0.48
ADAMTSL1	92949	NM_052866	-0.2	0.28	-0.48
BCAP29	55973	NM_018844	-1.1	-0.62	-0.48
ING2	27160	NM_058171	2.14	2.63	-0.49
CCKAR	886	NM_000730	-1.15	-0.66	-0.49
DAG1	1605	NM_004393	-1.14	-0.65	-0.49
MLH3	27030	NM_014381	-0.57	-0.08	-0.49
CAMK2D	817	NM_001221	-0.37	0.12	-0.49
PRPSAP1	5635	NM_002766	-0.37	0.12	-0.49
GNAT1	2779	NM_000172	0.55	1.04	-0.49
GPR105	9934	NM_014879	-0.34	0.15	-0.49
SSTR1	6751	NM_001049	-0.07	0.42	-0.49
MCC	4163	NM_002387	0.14	0.63	-0.49
SDFR1	27020	NM_012428	-1.43	-0.94	-0.49
SNX9	51429	NM_016224	1.36	1.85	-0.49
CHGB	1114	NM_001819	-0.99	-0.5	-0.49
ITGA8	8516	XM_167711	0.1	0.59	-0.49
TRPV4	59341	NM_021625	0.97	1.46	-0.49
ANP32D	23519	NM_012404	-1.23	-0.74	-0.49
G2	25758	XM_039515	-0.11	0.38	-0.49
POU5F1	5460	NM_002701	1.22	1.71	-0.49
NDEL1	81565	NM_030808	1.25	1.74	-0.49
RBMS3	27303	NM_014483	0.1	0.59	-0.49
EWSR1	2130	NM_005243	-0.35	0.14	-0.49
PGK2	5232	NM_138733	-0.92	-0.43	-0.49
PPP1R1B	84152	NM_032192	-0.78	-0.29	-0.49
VIP	7432	NM_003381	0.43	0.92	-0.49
KIF25	3834	NM_005355	-0.67	-0.18	-0.49
COL12A1	1303	NM_004370	0.31	0.8	-0.49
SLC12A1	6557	NM_000338	0.05	0.54	-0.49
DGKI	9162	NM_004717	-1.07	-0.58	-0.49
ZAN	7455	NM_003386	-1.37	-0.88	-0.49
IRAK2	3656	NM_001570	0.88	1.38	-0.5
PCTK2	5128	NM_002595	-0.58	-0.08	-0.5
RAP80	51720	NM_016290	-0.83	-0.33	-0.5
RHOA	387	NM_001664	-0.84	-0.34	-0.5
FKBP2	2286	NM_004470	-0.57	-0.07	-0.5
CDK5RAP1	51654	NM_016082	2.63	3.13	-0.5
NLK	51701	NM_016231	0.11	0.61	-0.5
CCL23	6368	NM_005064	0.29	0.79	-0.5
CCR5	1234	NM_000579	-0.32	0.18	-0.5
OR51B4	79339	NM_033179	-1.19	-0.69	-0.5
TAS2R40	259286	NM_176882	-0.18	0.32	-0.5
HLA-DPB1	3115	NM_002121	-0.42	0.08	-0.5
PSK-1	26470	NM_012410	-1.28	-0.78	-0.5
BZRAP1	9256	NM_004758	-1.29	-0.79	-0.5
CCL28	56477	NM_019846	-0.6	-0.1	-0.5
IL1F8	27177	NM_014438	0.03	0.53	-0.5
TNFSF7	970	NM_001252	-0.62	-0.12	-0.5
CUBN	8029	NM_001081	-0.8	-0.3	-0.5
COL9A3	1299	NM_001853	1.21	1.71	-0.5
SCN2A2	6326	NM_021007	-0.68	-0.18	-0.5
TCOF1	6949	NM_000356	0.81	1.31	-0.5
TRPM2	7226	NM_003307	-0.49	0.01	-0.5
AGL	178	NM_000028	-0.87	-0.37	-0.5
MGC14386	91433	XM_370908	-0.64	-0.14	-0.5
GBX2	2637	NM_001485	1.14	1.64	-0.5
PITX1	5307	NM_002653	-0.67	-0.17	-0.5
KCNAB3	9196	NM_004732	-1.07	-0.57	-0.5
LAP3	51056	NM_015907	-1.35	-0.85	-0.5
CLDN4	1364	NM_001305	1.58	2.09	-0.51
SH3BP5	9467	NM_004844	-1.17	-0.66	-0.51
PTCRA	171558	NM_138296	0.62	1.13	-0.51
CDKN1B	1027	NM_004064	1.16	1.67	-0.51
DUSP22	56940	NM_020185	-0.06	0.45	-0.51
PKM2	5315	NM_002654	0.25	0.76	-0.51
PRKCE	5581	NM_005400	-0.25	0.26	-0.51
GPR128	84873	NM_032787	-0.33	0.18	-0.51
OR5F1	338674	XM_291859	-0.34	0.17	-0.51
SSTR2	6752	NM_001050	0.96	1.47	-0.51
GPR114	221188	NM_153837	-0.73	-0.22	-0.51
KIF2C	11004	NM_006845	-0.1	0.41	-0.51
ACP1	52	NM_004300	-0.23	0.28	-0.51
ITPR3	3710	NM_002224	0.29	0.8	-0.51
C17	54360	NM_018659	-0.43	0.08	-0.51
GDF8	2660	NM_005259	1.55	2.06	-0.51
LHB	3972	NM_000894	-0.21	0.3	-0.51
XCL1	6375	NM_002995	-0.8	-0.29	-0.51
KAB	9859	NM_014812	-0.85	-0.34	-0.51
NOTCH2	4853	NM_024408	-0.4	0.11	-0.51
TAC3	6866	NM_013251	0.04	0.55	-0.51
CRYBA1	1411	NM_005208	-0.78	-0.27	-0.51
USH2A	7399	NM_007123	0.06	0.57	-0.51
PIGR	5284	NM_002644	-0.51	0	-0.51
ARFGAP1	55738	NM_018209	-1.3	-0.79	-0.51
DSTN	11034	NM_006870	-0.37	0.14	-0.51
NKIRAS2	28511	NM_001001349	-0.73	-0.22	-0.51
RAC2	5880	NM_002872	-0.42	0.09	-0.51
PPP2R5E	5529	NM_006246	0.58	1.09	-0.51
CHRNE	1145	NM_000080	0.59	1.1	-0.51
DAB2	1601	NM_001343	2.01	2.52	-0.51
APOH	350	NM_000042	-1.45	-0.93	-0.52
CDK11	23097	NM_015076	0.13	0.65	-0.52
GUCY2D	3000	NM_000180	0.5	1.02	-0.52
STK32B	55351	NM_018401	0.31	0.83	-0.52
KIAA0999	23387	NM_025164	1.87	2.39	-0.52
SPHK1	8877	NM_021972	0.23	0.75	-0.52
BDKRB1	623	NM_000710	-0.75	-0.23	-0.52
FZD7	8324	NM_003507	-0.39	0.13	-0.52
SCTR	6344	NM_002980	0.76	1.28	-0.52
CUL3	8452	NM_003590	-0.91	-0.39	-0.52
TPTE2	93492	NM_130785	-0.32	0.2	-0.52
LIF	3976	NM_002309	-0.3	0.22	-0.52
MARCO	8685	NM_006770	-0.92	-0.4	-0.52
NXF	266743	NM_178864	0.2	0.72	-0.52
OSMR	9180	NM_003999	-0.41	0.11	-0.52
RTN4R	65078	NM_023004	0.32	0.84	-0.52
AKAP10	11216	NM_007202	-1.27	-0.75	-0.52
INSL6	11172	NM_007179	0.23	0.75	-0.52
ITGA6	3655	NM_000210	-0.55	-0.03	-0.52
RLN1	6013	NM_006911	-0.37	0.15	-0.52
THRAP1	9969	NM_005121	-0.08	0.44	-0.52
AQP4	361	NM_001650	-0.59	-0.07	-0.52
HBG1	3047	NM_000559	-0.62	-0.1	-0.52
KCNJ8	3764	NM_004982	-0.74	-0.22	-0.52
BCAS1	8537	NM_003657	1.13	1.65	-0.52
SP110	3431	NM_004509	-0.97	-0.45	-0.52
ZNF85	7639	NM_003429	-0.2	0.32	-0.52
RHOB	388	NM_004040	1.92	2.44	-0.52
TCTEL1	6993	NM_006519	-0.98	-0.46	-0.52
AXIN1	8312	NM_003502	-1.3	-0.78	-0.52
MAP3K5	4217	NM_005923	-1.09	-0.57	-0.52
BAG4	9530	NM_004874	-1.09	-0.57	-0.52
CD3D	915	NM_000732	0.16	0.69	-0.53
CLIC5	53405	NM_016929	-0.57	-0.04	-0.53
FLJ10074	55681	NM_017988	-1.03	-0.5	-0.53
MAP3K3	4215	NM_002401	1.23	1.76	-0.53
MOS	4342	NM_005372	-0.87	-0.34	-0.53
PXK	54899	NM_017771	0.19	0.72	-0.53
SEPHS1	22929	NM_012247	0.15	0.68	-0.53
EDG3	1903	NM_005226	0.2	0.73	-0.53
FZD4	8322	NM_012193	-1.02	-0.49	-0.53
OR2W1	26692	NM_030903	-0.43	0.1	-0.53
RAI3	9052	NM_003979	-0.23	0.3	-0.53
PTPN18	26469	NM_014369	1.05	1.58	-0.53
DCL-1	9936	NM_014880	-1.29	-0.76	-0.53
HMGN3	9324	NM_004242	-0.61	-0.08	-0.53
ICAM3	3385	NM_002162	0.29	0.82	-0.53
IL15	3600	NM_000585	1.23	1.76	-0.53
ITGA3	3675	NM_002204	-0.09	0.44	-0.53
GABARAP	11337	NM_007278	-1.09	-0.56	-0.53
KCNS3	3790	NM_002252	-0.5	0.03	-0.53
KIF21B	23046	XM_371332	0.44	0.97	-0.53
ARFGAP3	26286	NM_014570	-1.04	-0.51	-0.53
CCNE1	898	NM_001238	0.02	0.55	-0.53
GNMT	27232	NM_018960	-0.07	0.46	-0.53
MLP	65108	NM_023009	-0.53	0	-0.53
MYL5	4636	NM_002477	-0.26	0.27	-0.53
SCO1	6341	NM_004589	-0.93	-0.4	-0.53
ZFY	7544	NM_003411	-0.23	0.3	-0.53
IL3RA	3563	NM_002183	1.12	1.66	-0.54
ADRA1A	148	NM_000680	0.66	1.2	-0.54
MNAT1	4331	NM_002431	-1.19	-0.65	-0.54
TNFSF13	8741	NM_003808	-1.45	-0.91	-0.54
C10ORF4	118924	NM_145246	0.17	0.71	-0.54
IBTK	25998	NM_015525	-0.69	-0.15	-0.54
AMHR2	269	NM_020547	0.21	0.75	-0.54
IKBKE	9641	NM_014002	3.33	3.87	-0.54
ITPK1	3705	NM_014216	0.75	1.29	-0.54
NPR1	4881	NM_000906	-0.8	-0.26	-0.54
PACSIN1	29993	NM_020804	-0.79	-0.25	-0.54
PHKA1	5255	NM_002637	-0.63	-0.09	-0.54
PKIA	5569	NM_006823	-1.06	-0.52	-0.54
PRKG2	5593	NM_006259	-0.67	-0.13	-0.54
GPBAR1	151306	NM_170699	-1.02	-0.48	-0.54
GRK6	2870	NM_002082	1.71	2.25	-0.54
LHCGR	3973	NM_000233	1.33	1.87	-0.54
USP42	84132	XM_166526	-0.63	-0.09	-0.54
HERC3	8916	NM_014606	-0.91	-0.37	-0.54
NEDD4L	23327	NM_015277	-1.05	-0.51	-0.54
OR8G2	26492	XM_370662	-1.02	-0.48	-0.54
CHRM4	1132	NM_000741	-0.43	0.11	-0.54
PPM1D	8493	NM_003620	-0.3	0.24	-0.54
PTPN4	5775	NM_002830	-0.19	0.35	-0.54
HLA-DQA1	3117	NM_002122	0.34	0.88	-0.54
TNFRSF17	608	NM_001192	-0.87	-0.33	-0.54
TRADD	8717	NM_003789	-0.79	-0.25	-0.54
WASF2	10163	NM_006990	-0.62	-0.08	-0.54
IL27RA	9466	NM_004843	0.51	1.05	-0.54
CCL27	10850	NM_006664	-0.93	-0.39	-0.54
IL12B	3593	NM_002187	-0.65	-0.11	-0.54
PPARGC1B	133522	NM_133263	-0.04	0.5	-0.54
TRIP4	9325	NM_016213	-0.35	0.19	-0.54
MRPL1	65008	NM_020236	-0.67	-0.13	-0.54
BAK1	578	NM_001188	-0.79	-0.25	-0.54
DTNB	1838	NM_021907	1.45	1.99	-0.54
FDPS	2224	NM_002004	-0.35	0.19	-0.54
TACC3	10460	NM_006342	0.19	0.73	-0.54
TBX4	9496	NM_018488	-0.21	0.33	-0.54
TOP3B	8940	NM_003935	-1.31	-0.77	-0.54
CDC42BPA	8476	NM_003607	2.33	2.88	-0.55
HERC6	55008	NM_017912	-1.66	-1.11	-0.55
DUSP11	8446	NM_003584	2.97	3.52	-0.55
GJA12	57165	NM_020435	1.71	2.26	-0.55
GNAZ	2781	NM_002073	0.89	1.44	-0.55
OR1A2	26189	NM_012352	-0.59	-0.04	-0.55
FBXW8	26259	NM_012174	-0.82	-0.27	-0.55
KIAA1972	89970	NM_133368	-1.17	-0.62	-0.55
ITGA5	3678	NM_002205	0.03	0.58	-0.55
HIF1A	3091	NM_001530	0.66	1.21	-0.55
SLC8A1	6546	NM_021097	-1.13	-0.58	-0.55
GATA6	2627	NM_005257	0.02	0.57	-0.55
RREB1	6239	NM_002955	-0.69	-0.14	-0.55
UNG2	10309	NM_021147	-0.59	-0.04	-0.55
DUSP1	1843	NM_004417	0.72	1.27	-0.55
FLJ23074	80122	NM_025052	-0.17	0.38	-0.55
MAPK8	5599	NM_002750	-0.53	0.02	-0.55
MKNK1	8569	NM_003684	-0.42	0.13	-0.55
PDGFRA	5156	NM_006206	-0.64	-0.09	-0.55
SNF1LK	150094	NM_173354	0.11	0.66	-0.55
FZD9	8326	NM_003508	-0.06	0.49	-0.55
GPR86	53829	NM_023914	-0.75	-0.2	-0.55
MASS1	84059	NM_032119	-1.36	-0.81	-0.55
OXER1	165140	NM_148962	-0.3	0.25	-0.55
NEDD8	4738	NM_006156	-0.86	-0.31	-0.55
PSPH	5723	NM_004577	-0.99	-0.44	-0.55
MPL	4352	NM_005373	-1.29	-0.74	-0.55
TNFRSF10D	8793	NM_003840	0.73	1.28	-0.55
WNT16	51384	NM_016087	-0.99	-0.44	-0.55
CD14	929	NM_000591	-1.07	-0.52	-0.55
CD28	940	NM_006139	-1.3	-0.75	-0.55
FCER1G	2207	NM_004106	-1.08	-0.53	-0.55
NOV	4856	NM_002514	-0.29	0.26	-0.55
GRIN2B	2904	NM_000834	-0.06	0.49	-0.55
LMNB2	84823	NM_032737	-0.61	-0.06	-0.55
GJB2	2706	NM_004004	-0.26	0.29	-0.55
HBB	3043	NM_000518	0	0.55	-0.55
SEC10L1	10640	NM_006544	0.13	0.68	-0.55
EMX1	2016	NM_004097	0.24	0.79	-0.55
ERCC2	2068	NM_000400	-0.87	-0.32	-0.55
CABYR	26256	NM_012189	-1.5	-0.95	-0.55
